SMILES,PubChem_CID,cluster
CC(C)(C)OC(=O)N1CCC(CC1)C(F)(F)SC2=CC=CC=C2C=O,169867210,206
C1C(N(C2=C1C=CC(=C2)C(F)(F)F)C(F)(F)F)C=O,174937158,207
CN1C=C2C(=CC1C=O)CN=C(C3=C2C=C(C=C3)N)C4=CC=C(C=C4)F,139484752,208
C1C[C@H](N(C1)F)C=O,54216302,209
C1=C(NC(=CC1=O)C(F)F)C=O,118820445,210
CC(CNC1=CC(=NC(=C1C=O)F)F)O,150632222,211
CC1=NC=CC(=C1)C2=C(C=CC(=C2)C=O)F,116170144,212
CC1CN(CC(N1)C)C(C=O)C2=CC=C(C=C2)OC(F)(F)F,87813151,213
C1CC1CN2C(=CC(=N2)C(F)(F)F)C=O,87691049,214
COC(=O)CC=CC1=CC(=C(C=C1F)C=O)F,170501206,215
COC1=CC(=C(C2=C(C(=CC(=C12)OC)C=O)OC)OC)OC,16091253,216
CN1C(CC=C2C1=C(C(=C3C2=CC=N3)C(F)(F)F)C=O)CC(F)(F)F,141055441,217
CCCOC1=CC(=C(C=C1)C=O)OCCF,79035552,218
C1[C@@H]([C@H](CN1CC(=O)O)C2=CC(=CC=C2)F)C=O,20664103,219
CN1C(=O)C(=C(N1)C2=CC(=CC=C2)C(F)(F)F)C=O,118538297,220
C1CC(=O)CC(=O)C1C2=CC(=C(C=C2)N3CCC(CC3)C=O)F,169011684,221
COCCNC1=CC(=NC=C1C#N)NC(=O)N2CCCC3=CC(=C(N=C32)C=O)N4C=CN=C4,118036655,222
C1=CC(=C(C=C1NC(=O)C2=NC=C(C=C2)Cl)C=O)F,90238114,223
C1=CN(C(=C1)C=O)CC(=O)NC2=CC=C(C=C2)F,65810379,224
C1=CC=C(C=C1)C(=NCCC=O)C2=CC=CC=C2,11447740,225
C1=C(C=C(C(=C1C=O)F)Cl)Cl,83409594,226
CC(C=O)C1CCC2=C(C1)C=CC(=C2)F,105458976,227
COC(=O)[C@@](CC=O)(C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)O,102493061,228
C1=CN=C2C(=C1C=O)N=CC=N2,42281362,229
C1=CC(=C(C=C1F)C2=CC(=CC(=C2)F)F)C=O,108257497,230
CC1=C(C(=C(C(=C1OCC2=CC=CC=C2)C(=C)C)C)F)C=O,91186141,231
C1=CC(=CC=C1CN2C=NN=C2C=O)F,83882211,232
C1CN(CCC1C(F)(F)F)C2=NC=C(C=C2)C=O,80632349,233
C1=CC=C2C(=C1)C(=C(N2)C=O)CCO,12502177,234
COC1=C(C(=C(C(=C1)C=O)C(F)(F)F)C(F)(F)F)OC,117811503,235
C1=C(C(=C(C(=C1C#N)F)F)F)C=O,83383411,236
C1=CC(=C(C=C1OC(F)(F)F)C2=CC=NC=C2)C=O,174535567,237
CC(=CCOC1=C(C=C(C=C1)C=O)F)C,107689531,238
CC(=O)OCC(=O)N1CCC(=CC1)C2=C(C=C(C=C2F)N3C[C@@H](OC3C=O)CN4C=CN=N4)F,175238714,239
CSCOC1=C(C=CC(=C1)Cl)C=O,18359227,240
C1=CC(=C(C(=C1C(F)(F)F)CC=O)C(F)(F)F)C(F)(F)F,88053519,241
CC(CC=O)C1=C(C=C(C=C1)SC)F,117303194,242
C1C(=CC(=CC1(C=O)F)F)F,163368328,243
COC1=C(C=C(C=C1)F)C2=CC(=C(C(=C2)OC)OC)C=O,82107420,244
C1CNCCN2C1=C(C3=CC=CC=C32)C=O,9899243,245
C1CC1C2=NN=C(N2C3CC3)SC4=C(C=C(C=C4)F)C=O,63803875,246
C1C(N(C2=C1C=C(C=C2)Cl)C3=C(C(=CC(=C3F)F)F)F)C=O,175586781,247
CC(CC=O)C1=C(C(=CC(=C1F)OC)OC)F,117362122,248
CN(C)CCSC1=C(C=C(C=C1F)C=O)F,80345169,249
C1=CC=C(C(=C1)C=O)OC2=CC(=CC(=C2)C(F)(F)F)C(F)(F)F,87149644,250
CC1=NN=C(C=C1)N2C(=C(C(=N2)C(F)(F)F)C=O)Cl,61965332,251
C1=CC(=C(C=C1C=O)[N+](=O)[O-])SCCO,2194152,252
C1=C(C(=C(C(=N1)CCl)C=O)C(F)F)I,118832575,253
CC=CCOC1=C(C=C(C=C1)C=O)C(F)(F)F,76990607,254
CC(C)(C)OC(=O)NCC(C=O)C1=CC=CC=C1,11414003,255
C1=CC(=CC=C1C=O)C2=NN=NC=C2,151128059,256
COC1=C(C=C(C(=C1)[N+](=O)[O-])C=O)[N+](=O)[O-],72942909,257
CCOC1=CC(=CC(=C1F)C=O)SC,177689165,258
C1CC(N(C1)C2=C(C=C(C=C2)[N+](=O)[O-])F)C=O,59300360,259
C1=CC(=C(C=C1F)C=O)OCC2=NOC=N2,107697733,260
C1=CC(=CC(=C1)C=O)C=C(C=N)C=N,18736376,261
CC1=C(C2=CC=CC=C2N1CC=C)C=O,801660,262
CSC1=CC=C(C=C1)C2=C(C3=C(N2)C(=CC(=C3)Cl)F)C=O,4615631,263
C1CC(=O)N2CNCC(C[N+]2(C1NC(=O)CC3=CC=CC=C3)[O-])C(=O)NC(CC(=O)O)C=O,18465823,264
CC(C1=C(C=C(C=N1)S)C=O)(F)F,155406054,265
CC1([C@@H]2[C@H]1[C@@H](N(C2)C(=O)COC3=CC(=C(C=C3)Cl)Cl)C(=O)N[C@@H](C[C@@H]4CCNC4=O)C=O)C,155803073,266
CN1CC2=CC=CC=C2CC1C=O,15933732,267
C1=CC(=CC=C1C=O)SCC(=O)NC2=CC=C(C=C2)F,104186259,268
C1=CC(=C(C=C1[C@@H](C=O)Cl)F)Cl,132090718,269
COC1=CC=CC=C1C(CF)C=O,84768704,270
CC(=O)C1=CC(=C(C(=C1)OC(F)F)I)C=O,171032053,271
CSC1=CC=CC(=N1)C=O,10820763,272
CCN1C2=C(C=CC(=C2)/C=C/C3=CC=CC=C3)C4=C1C=C(C=C4)C=O,129744716,273
CC1=C(C=CC(=C1)C2=C(N(C(=N2)C)C)C=O)F,84140842,274
C[C@@H]1C[C@H](C2=C1C(=NC=N2)N3CCN(C[C@@H]3C)C(C4=CC(=C(C=C4)Cl)F)C(C=O)N)OC,87599109,275
C1=CC=C2C(=C1)C=CC(=C2C=O)OCCF,15058734,276
C1=CC2=NC(=C(N2C=C1Cl)C=O)Cl,14963394,277
C1CN(CCC1C(F)(F)F)C2=C(C=C(C=C2)[N+](=O)[O-])C=O,25918926,278
CC=CCC(C=O)(C(F)(F)F)O,141141507,279
COC1=C(C=C(C=C1)Cl)COC2=CC(=CC(=C2)C=O)F,116451929,280
C1=CC(=C(C=C1[N+](=O)[O-])C=O)OC2=CC(=CC(=C2)F)F,62783939,281
CC(C)(C)OC(=O)NC1=CC(=C(C=C1C=O)F)F,123236836,282
CCCCC(C/C=C/C)C=O,134987461,283
C1=CC(=C(C=C1F)OCF)C=O,161779714,284
C1=CC=C(C(=C1)C=O)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,140201506,285
C=CC[C@@H](C=O)OCC1=CC=CC=C1,11679958,286
C1C(CN1C2=CC(=C(C=C2)F)C=O)O,172252941,287
C1=CC(=CC=C1OC(F)(F)F)SCCC=O,14347985,288
COC(=O)C1=CC(=C(C(=C1)F)C=O)F,84669207,289
C/C=C/C(CC=O)C1=CC=CC=C1,11194621,290
C1C(N(C2=C1C=CC(=C2)C(F)(F)F)C(F)(F)F)C=O,174937158,291
C1=C(C(=CC(=C1F)C=O)F)C=CCO,169453587,292
C1=C(C=C(C=C1OCC(F)(F)F)OCC(F)(F)F)C=O,22557679,293
C1=CN=C(C(=C1Cl)C=O)F,53485437,294
CC1([C@@H]2CC[C@]1(C3=NN=C(C=C23)C4=CC=CC=C4F)C=O)C,163556140,295
C1=CC2=C(C=C1F)C(=C(N2)C3=CC(=C(C=C3F)F)F)C=O,87405630,296
CC1=CC(=C(N1NC(=O)C2=CC=CC=C2F)C)C=O,125577353,297
COC1=C(C=C(C=C1)C=O)[N+](=O)[O-],700608,298
CCN(CC)C(=O)C1=C(C=C(C=C1)C(F)(F)F)C=O,82544306,299
C1=CC(=C(C=C1C=O)OC(F)(F)F)OC(F)(F)F,139965809,300
C1CS(=O)(=O)CCN1C2=C(C=C(C=C2)C=O)F,43581616,301
C1CN(CCC1C=O)CC2=C(C=CC=C2F)F,114933967,302
CCC(=O)N1C=C(C2=CC=CC=C21)C=O,969753,303
COC1=C(C=CC(=C1)C2=CC=CC=C2F)C=O,144026141,304
CSC1=CC=CC(=C1)C(C=O)C2=CC(=CC=C2)C(F)(F)F,150973368,305
C1=CC(=CC(=C1)S(=O)CC=O)F,80059801,306
CNC(=O)COC1=C(C=C(C=C1)[N+](=O)[O-])C=O,8309449,307
C1C=CC(N1S(=O)C2=CC=C(C=C2)F)C=O,139563802,308
CC1=CC(=CN=C1C=O)F,71464223,309
C1=CC2=NN=CN2C=C1C=O,82417711,310
C1=CC(=CC=C1C=O)C(=O)NCC(F)(F)F,86611465,311
CC(C)(C)OC(=O)N1CC=CC1C=O,20624356,312
C1=C(C(=C(C(=N1)I)C=O)C(F)F)O,118818466,313
C1=CC(=CC=C1C2=CN3C=C(C=CC3=N2)C=O)OC(F)(F)F,122424165,314
COC1=C(C=CC(=C1)C=O)OC(=O)C=C,12191274,315
CCOC(=O)NN(C(=O)OCC)C(C)(C=O)C1=CC=C(C=C1)C(F)(F)F,16102393,316
C1=CC(=C(C=C1[N+](=O)[O-])C=O)SC(F)(F)F,117740498,317
C1=CC(=C(C=C1S)OC(F)(F)F)C=O,170999230,318
C1=CC=C(C=C1)COC2=C(C=C(C=C2)F)C3=C(N4C=CC=CC4=C3)C=O,3713428,319
C=CCN1C=C(C2=C1C=C(C=C2)F)C=O,6498200,320
C1=CC(=CC(=C1)F)NC(=O)CN2C=CN=C2C=O,62222625,321
CC1(CC1(C2=CC=C(C=C2)F)C3=CC=C(C=C3)F)C=O,23051258,322
C[C@]12CC[C@H]3[C@H]([C@]1(C[C@@H]([C@@H]2C4=COC(=O)C=C4)O)O)CC[C@]5([C@@]3(CC[C@@H](C5)O)C=O)O,14888410,323
CC1CC1CN(C)C2=CC(=C(C=C2)C=O)C(F)(F)F,81646805,324
CC(C=O)C1=CC=C(C=C1)SC(F)(F)F,165971491,325
CNC(=O)COC1=CC=C(C=C1)C=O,15270519,326
C1=CC2=C(C=C1F)S(=O)(=O)C(=C2)CC=O,117195868,327
C1=CC(=CC(=C1)F)N2C(=NN=N2)C=O,83877900,328
C1=CC(=NC(=C1F)C=O)C2=C(C=C(C=C2Cl)Cl)Cl,133090309,329
C1=C(OC(=C1)C2=CC(=C(C=C2[N+](=O)[O-])[N+](=O)[O-])F)C=O,169332095,330
C1=CC=C(C=C1)C2=CN(C=N2)C3=CC(=C(C=C3)C=O)OC(F)F,177176185,331
C1C(CC1(C=O)C2=CC=CC=C2F)F,105449666,332
C1=C(N=CC(=N1)C(F)F)C=O,84650694,333
CNC(CCNC1=C(C=C(C=C1)C(=O)O)F)C=O,88276637,334
CCOC(=O)C(=C)C1=CC=CC=C1C=O,11745760,335
C1OC2=C(O1)C=C(C(=C2)CCC=O)CF,117299982,336
C1=C(C(=C(C(=C1F)F)F)CC=O)F,22667333,337
C1=C(C(=C(N=C1[N+](=O)[O-])C=O)C(F)F)I,130086716,338
C1CC(C2C1CN(C2)C3=C(C=C(C=C3)C=O)F)O,113399282,339
CSCC[C@@H](C=O)NC(=O)OCC1=CC=CC=C1,14264580,340
CC1C[C@H](CCN1C2=C(C=C(C=C2)C(F)(F)F)C=O)OC3=NC=C(C=C3)C(F)(F)F,88913204,341
COC1=CC=CN2C1=NC(=C2C=O)C(F)(F)F,115405111,342
COC1=CC=CC(=C1OP(=O)(O)O)C=O,5287488,343
C1=CC(=C(C(=C1)I)OC(F)F)CCC=O,134621114,344
C1=NN=C(N1C(F)(F)F)C=O,112711985,345
C1=CN2C(=NN=C2C=O)C=C1F,105432546,346
CCCCC1=C(C=CO1)C=O,101851597,347
C1=CC(=NN=C1N2C(=C(C(=N2)C(F)F)C=O)Cl)Cl,55127381,348
CN1C=CC(=N1)C2=C(C=CC(=C2)F)C=O,108257785,349
C1=C(C=C(C(=C1/C=C/C(=O)O)OC(F)F)C=O)C#N,171030864,350
C1=CC(=C(C(=C1C(F)(F)F)C=O)C(F)(F)F)C(F)(F)F,88059112,351
CC(C)(C=O)C1=C(C=C(C=C1)Br)F,58762561,352
C=CN1C=C(C2=CC=CC=C21)C=O,11332726,353
COC1=CC=C(C=C1)COC2=CN(C(=CC2=O)C=O)OC,15159535,354
CCCCOC1=C(C=CC(=C1)C=O)F,86812088,355
C1=CC(=C(C=C1C2=C(C(=C(C(=C2F)F)F)F)F)C=O)F,134627723,356
CC1CS(=O)(=O)CCN1C2=C(C=C(C=C2F)C=O)F,102884290,357
CN1CCC(CC1)C2CC2CCOC3=CC(=C(C=C3)CC=O)F,129309992,358
C1=CC=C2C(=C1)C(=CN2CC3=CC=C(C=C3)I)C=O,2198598,359
CC1CS(=O)(=O)CCN1C2=CC(=C(C=C2)C=O)C(F)(F)F,102884297,360
CSC1=C(C=C(C=C1)C=O)F,11275257,361
C1=CC(=C(C=C1C=O)OCC(F)(F)F)[N+](=O)[O-],62114321,362
C1=CC(=C(C(=C1Cl)C2=C(C=C(C(=C2)Cl)C=O)F)Cl)Cl,134620357,363
C1CN(CCC1C(=O)NC2C3CC4CC(C3)CC2C4)C5=CC=C(C=C5)C=O,177663153,364
CC1CS(=O)(=O)CCN1C2=C(C=CC=C2F)C=O,108318713,365
CCC1=C(C=CC(=C1)O)C=O,45082911,366
COC1=C2C(=CC(=C1)F)C=C(N2CC3CC3)C=O,170344166,367
C1CN(CCN1C2=CC=C(C=C2)F)C(CCl)C=O,174496566,368
CC(=O)C1=CC(=C(C=C1)C=O)OC(F)(F)F,88873809,369
C1=CC=C2C(=C1)C=C3C=CC=CC3=C2C4=C5C=CC=CC5=C(C6=CC=CC=C64)C=O,14937941,370
CC(C[Se]C1=CC=CC=C1)(C=O)F,139265054,371
C1=CC(=CC=C1/C=C/C2=CC(=CC(=C2)C(F)(F)F)C(F)(F)F)C=O,101453931,372
COC1=CC(=C(C=C1)C=O)OCCF,79035429,373
CCOC(=O)C1=C(C=C(N1CC(=O)C)C=O)F,177070455,374
C1=CC=C(C=C1)/C(=C(\CC=O)/C(F)(F)F)/C2=CC=C(C=C2)C(F)(F)F,177529363,375
CC1CCC(CC1)OC2=NCC(C=N2)C3=CC(=C(C=C3)C=O)F,123867802,376
CC1(CC1)C2=CC(=C(C=C2C=O)F)F,118117445,377
C1=CC(=C(C=C1SC(F)(F)F)CCC=O)S,118814333,378
C/C(=N\NC1=C(C=C(C=C1)[N+](=O)[O-])[N+](=O)[O-])/OCC=O,9577329,379
CN(C)/C(=N\C(CC=O)S/C(=C(\C=C)/C1=CC(=C(C=C1)F)C#N)/C=C)/N,145460676,380
CC(=O)N1CCN(CC1)C2=CC3=C(C=C2)C(=C(C=C3)O)C=O,88947032,381
COC1=C(C(=C(C=C1)OC)OC)C=O,79675,382
CC=CCOC1=C(C=C(C=C1F)C=O)F,79892220,383
CC(CC=O)C1=C(C(=CC(=C1OC)Cl)F)F,117374867,384
C1CC1=CC2=CC=CC=C2C=O,13774884,385
CC1=NN=C2N1C=CC(=C2C(F)(F)F)C=O,87691369,386
CNC(=O)COC1=CC(=C2CC(CC2=C1F)C=O)F,156861991,387
COC1=C(C(=CC(=C1)C=O)F)S,129914001,388
CC1C=CCC(CN1C)N2C=C(C(=O)C(=C2C=O)O)C(=O)NCC3=C(C=C(C=C3)F)F,155155273,389
C1=CC(=CC=C1OC2=C(C=CC(=C2)C(F)(F)F)C=O)I,166001239,390
CC(C)C1=NC(=NC(=C1C=O)C2=CC=C(C=C2)F)CS,88261015,391
C1=CC(=C(C=C1C=O)OCC2=CC(=CC(=C2)F)F)[N+](=O)[O-],105403663,392
C1=CC2=C(C=C1C(F)(F)F)S(=O)(=O)C(=C2)CC=O,117195730,393
CC1(C(CC2C1(O2)C)CC=O)C,101418270,394
C1=CC(=C(C=C1F)C=O)C=CCS,169455019,395
COC1=CC(=CC(=C1O)OC)CC=O,13726059,396
COCCC(=O)N1C=C(C2=C1C=CC(=C2)F)C=O,58005989,397
COC1=CC=CC(C1)(C=O)OC,129721822,398
C1=CC(=CC(=C1)C=O)CCOC2=CC(=CC(=C2)C(F)(F)F)C(F)(F)F,122476256,399
