feature,r,abs_r,p,n,family
xtb_omega,-0.49702279989294695,0.49702279989294695,0.0,214016,aldehyde QM (72-feat)
xtb_LUMO,0.4911867086450829,0.4911867086450829,0.0,214017,aldehyde QM (72-feat)
xtb_EA,-0.4911015974725246,0.4911015974725246,0.0,214017,aldehyde QM (72-feat)
dual_descriptor_CHO_C,0.43639150334226345,0.43639150334226345,0.0,214014,aldehyde QM (72-feat)
xtb_mu,0.4257787085635189,0.4257787085635189,0.0,214016,aldehyde QM (72-feat)
fukui_plus_CHO_C,0.4195205636084145,0.4195205636084145,0.0,214016,aldehyde QM (72-feat)
xtb_gap,0.39101924941696614,0.39101924941696614,0.0,214017,aldehyde QM (72-feat)
mordred_Mor12v,-0.3081788857090173,0.3081788857090173,0.0,214017,mordred (199-feat)
xtb_eta,0.305680871814837,0.305680871814837,0.0,214016,aldehyde QM (72-feat)
mordred_Mor14se,0.2966595967879694,0.2966595967879694,0.0,214017,mordred (199-feat)
mordred_AMW,-0.2757486066620032,0.2757486066620032,0.0,214017,mordred (199-feat)
wbo_CO,0.257095999553611,0.257095999553611,0.0,214017,aldehyde QM (72-feat)
mordred_Mor26p,0.23574684579138647,0.23574684579138647,0.0,214017,mordred (199-feat)
mordred_Mor19se,0.23147774130494486,0.23147774130494486,0.0,214017,mordred (199-feat)
mordred_Mor31p,0.22380028913033356,0.22380028913033356,0.0,214017,mordred (199-feat)
mordred_Mor19m,0.2203037955912744,0.2203037955912744,0.0,214017,mordred (199-feat)
mordred_Mor28v,-0.2120200733344189,0.2120200733344189,0.0,214017,mordred (199-feat)
mordred_Mor22p,0.2075967596107353,0.2075967596107353,0.0,214017,mordred (199-feat)
mordred_PBF,0.20336752929143553,0.20336752929143553,0.0,214017,mordred (199-feat)
mordred_Mor09,0.19714980142808355,0.19714980142808355,0.0,214017,mordred (199-feat)
mordred_Mor12m,-0.19564375823006377,0.19564375823006377,0.0,214017,mordred (199-feat)
mordred_Mor08,0.1908302586634792,0.1908302586634792,0.0,214017,mordred (199-feat)
mordred_Mor17v,-0.1906937312608695,0.1906937312608695,0.0,214017,mordred (199-feat)
mordred_Mor17,-0.19065754579335945,0.19065754579335945,0.0,214017,mordred (199-feat)
mordred_Mor29v,-0.18017452218033841,0.18017452218033841,0.0,214017,mordred (199-feat)
mordred_Mor29se,-0.17993406044052582,0.17993406044052582,0.0,214017,mordred (199-feat)
pa_CHO_O,-0.17279837622054725,0.17279837622054725,0.0,213571,aldehyde QM (72-feat)
mordred_Mor27m,0.16932578527064676,0.16932578527064676,0.0,214017,mordred (199-feat)
mordred_PNSA5,0.16290606422227916,0.16290606422227916,0.0,213642,mordred (199-feat)
mordred_Mor21se,-0.15631603151874476,0.15631603151874476,0.0,214017,mordred (199-feat)
mordred_Mor13se,0.1560377817116156,0.1560377817116156,0.0,214017,mordred (199-feat)
P_int,-0.154930410471811,0.154930410471811,0.0,214017,aldehyde QM (72-feat)
mordred_Mor09p,0.1539267838167417,0.1539267838167417,0.0,214017,mordred (199-feat)
mordred_Mor25m,-0.14807188191379986,0.14807188191379986,0.0,214017,mordred (199-feat)
mordred_Mor16v,-0.1455895088464164,0.1455895088464164,0.0,214017,mordred (199-feat)
mordred_Mor17m,-0.1451643348950013,0.1451643348950013,0.0,214017,mordred (199-feat)
mordred_Mor28m,-0.14309648398822342,0.14309648398822342,0.0,214017,mordred (199-feat)
mordred_WNSA4,0.14198970872417171,0.14198970872417171,0.0,213642,mordred (199-feat)
xtb_HOMO,0.14139214226282432,0.14139214226282432,0.0,214017,aldehyde QM (72-feat)
mordred_Mor28se,-0.14094712870549342,0.14094712870549342,0.0,214017,mordred (199-feat)
mordred_FNSA3,0.14032414082605724,0.14032414082605724,0.0,213642,mordred (199-feat)
mordred_Mor15p,-0.13990704649520783,0.13990704649520783,0.0,214017,mordred (199-feat)
mordred_Mor15se,-0.1393802808775121,0.1393802808775121,0.0,214017,mordred (199-feat)
mordred_Mor20v,-0.13785981315960863,0.13785981315960863,0.0,214017,mordred (199-feat)
mordred_Mor27se,0.1378486687574144,0.1378486687574144,0.0,214017,mordred (199-feat)
mordred_Mor03se,-0.13675104174642116,0.13675104174642116,0.0,214017,mordred (199-feat)
mordred_bpol,0.1356173933305566,0.1356173933305566,0.0,214017,mordred (199-feat)
mordred_DPSA4,-0.1354676686677909,0.1354676686677909,0.0,213642,mordred (199-feat)
mordred_Mor04m,-0.13366250073835076,0.13366250073835076,0.0,214017,mordred (199-feat)
sterimol_B5,0.13336854737606066,0.13336854737606066,0.0,214016,aldehyde QM (72-feat)
mordred_Mor16m,-0.1299654685338934,0.1299654685338934,0.0,214017,mordred (199-feat)
mordred_Mor25v,-0.12712116180985353,0.12712116180985353,0.0,214017,mordred (199-feat)
mordred_PNSA3,0.12414718097973279,0.12414718097973279,0.0,213642,mordred (199-feat)
xtb_IP,-0.12156439921836147,0.12156439921836147,0.0,214016,aldehyde QM (72-feat)
mordred_Mor26se,0.1208745028449045,0.1208745028449045,0.0,214017,mordred (199-feat)
mordred_Mor11,-0.11931797853652676,0.11931797853652676,0.0,214017,mordred (199-feat)
mordred_Mor04se,0.11768793722550738,0.11768793722550738,0.0,214017,mordred (199-feat)
mordred_Mor22se,0.11326179947568141,0.11326179947568141,0.0,214017,mordred (199-feat)
mordred_Mor08m,-0.11319763428764411,0.11319763428764411,0.0,214017,mordred (199-feat)
mordred_Mor32,0.11183123671028267,0.11183123671028267,0.0,214017,mordred (199-feat)
mordred_Mor32m,0.10287141604300443,0.10287141604300443,0.0,214017,mordred (199-feat)
mordred_Mor02se,0.101100554603532,0.101100554603532,0.0,214017,mordred (199-feat)
mordred_Mor18m,0.10015340319932034,0.10015340319932034,0.0,214017,mordred (199-feat)
xtb_dipole,-0.0976734186252725,0.0976734186252725,0.0,214017,aldehyde QM (72-feat)
mordred_WPSA1,0.09508338948163787,0.09508338948163787,0.0,213642,mordred (199-feat)
mordred_Mor32v,0.09193458573704733,0.09193458573704733,0.0,214017,mordred (199-feat)
mordred_Mor08p,0.0899982565322954,0.0899982565322954,0.0,214017,mordred (199-feat)
mordred_Mor23m,0.08960511200056932,0.08960511200056932,0.0,214017,mordred (199-feat)
mordred_Mor22m,0.08789447349862123,0.08789447349862123,0.0,214017,mordred (199-feat)
fukui_minus_CHO_C,-0.08651070253247459,0.08651070253247459,0.0,214014,aldehyde QM (72-feat)
mordred_Mor24p,-0.08549911973389668,0.08549911973389668,0.0,214017,mordred (199-feat)
mordred_Mor23se,-0.08150018481594842,0.08150018481594842,4.077291825754e-312,214017,mordred (199-feat)
mordred_Mor06se,-0.07851662517336233,0.07851662517336233,9.047979094887824e-290,214017,mordred (199-feat)
mordred_Mor30se,0.07503188268437207,0.07503188268437207,9.778261177303686e-265,214017,mordred (199-feat)
mordred_Mor13v,0.07220714698990179,0.07220714698990179,2.7594156932913928e-245,214017,mordred (199-feat)
mordred_Mor06v,-0.07060031040210893,0.07060031040210893,1.4765674682596087e-234,214017,mordred (199-feat)
mordred_Mor03v,-0.06795043366973037,0.06795043366973037,2.1392719310016734e-217,214017,mordred (199-feat)
sterimol_L,-0.06754690613401387,0.06754690613401387,7.700970272077867e-215,214016,aldehyde QM (72-feat)
mordred_WNSA1,-0.06696868522429548,0.06696868522429548,7.70446409737207e-211,213642,mordred (199-feat)
mordred_Mor26m,0.06441393765450007,0.06441393765450007,1.597300659655024e-195,214017,mordred (199-feat)
mulliken_CHO_O,0.06350343261913304,0.06350343261913304,4.410062004363006e-190,214017,aldehyde QM (72-feat)
mordred_Mor21m,-0.06128556577109515,0.06128556577109515,3.7340880281488065e-177,214017,mordred (199-feat)
mordred_Mor11m,0.060510428782297045,0.060510428782297045,9.582060731689605e-173,214017,mordred (199-feat)
mordred_FPSA5,-0.05760031336026244,0.05760031336026244,2.0098824048238035e-156,213642,mordred (199-feat)
mordred_Mor29m,-0.05551653863746293,0.05551653863746293,1.0899121769350255e-145,214017,mordred (199-feat)
mordred_WNSA3,0.05509812290302037,0.05509812290302037,2.7933389978389354e-143,213642,mordred (199-feat)
mordred_Mor15m,-0.0541744945241016,0.0541744945241016,8.126353711363165e-139,214017,mordred (199-feat)
mordred_Mor13m,-0.05186602624813171,0.05186602624813171,2.1724708699688075e-127,214017,mordred (199-feat)
mordred_TPSA,-0.04948263200069249,0.04948263200069249,6.484986343714599e-116,213642,mordred (199-feat)
mordred_TASA,0.04500964173177061,0.04500964173177061,3.197074664816089e-96,213642,mordred (199-feat)
mordred_Mor18p,0.04499173064290778,0.04499173064290778,2.5970406302559164e-96,214017,mordred (199-feat)
mordred_Mor03m,0.04463862775030503,0.04463862775030503,7.79200602486309e-95,214017,mordred (199-feat)
mordred_RPCS,0.0384446681916927,0.0384446681916927,1.0817611556933132e-70,213642,mordred (199-feat)
vbur_CHO_C,-0.03629108679353903,0.03629108679353903,2.6817578465648746e-63,214017,aldehyde QM (72-feat)
mordred_Mor10m,0.03302288066384085,0.03302288066384085,1.0217933528719105e-52,214017,mordred (199-feat)
mordred_Mor10,-0.031110655653725828,0.031110655653725828,5.498264970090372e-47,214017,mordred (199-feat)
mordred_Mor07,-0.03076012654045755,0.03076012654045755,5.674712893234095e-46,214017,mordred (199-feat)
mordred_Mor20se,0.02798471444918357,0.02798471444918357,2.388397050719617e-38,214017,mordred (199-feat)
mordred_Mor31m,0.0277933483496534,0.0277933483496534,7.542053598093304e-38,214017,mordred (199-feat)
mordred_Mor10v,0.02637642372043778,0.02637642372043778,2.9481342695164545e-34,214017,mordred (199-feat)
mordred_Mor23p,-0.025421084378285195,0.025421084378285195,6.117370271401404e-32,214017,mordred (199-feat)
mordred_FPSA3,-0.02514931646774081,0.02514931646774081,3.0350449135165763e-31,213642,mordred (199-feat)
mordred_PPSA5,-0.02450419926500271,0.02450419926500271,9.554876893991907e-30,213642,mordred (199-feat)
SASA_total,0.02380050825271118,0.02380050825271118,3.3419858499532727e-28,214017,aldehyde QM (72-feat)
mordred_Mor11v,0.02325186791402785,0.02325186791402785,5.424002172849239e-27,214017,mordred (199-feat)
mordred_Mor07m,-0.022556301142314307,0.022556301142314307,1.6935851182209615e-25,214017,mordred (199-feat)
mordred_Mor04v,-0.02137414328502651,0.02137414328502651,4.638487325119869e-23,214017,mordred (199-feat)
mordred_Mor25se,-0.019830158343680633,0.019830158343680633,4.529569178025129e-20,214017,mordred (199-feat)
mordred_WPSA3,0.01925499961825687,0.01925499961825687,5.549159406087928e-19,213642,mordred (199-feat)
mordred_Mor24m,0.01876547232719054,0.01876547232719054,3.888997071232233e-18,214017,mordred (199-feat)
mordred_RNCG,0.015865852605202225,0.015865852605202225,2.2364742129855885e-13,213642,mordred (199-feat)
mordred_Mor02m,-0.01581315097521135,0.01581315097521135,2.556809790712012e-13,214017,mordred (199-feat)
mordred_RNCS,-0.015680233647699864,0.015680233647699864,4.228758362896221e-13,213642,mordred (199-feat)
sterimol_B1,0.013930480852352304,0.013930480852352304,1.157719932261902e-10,214016,aldehyde QM (72-feat)
mordred_Mor16,-0.012972688918573953,0.012972688918573953,1.953354896060594e-09,214017,mordred (199-feat)
mulliken_CHO_C,0.012553928188486987,0.012553928188486987,6.326521092435277e-09,214017,aldehyde QM (72-feat)
mordred_GeomDiameter,0.010960396238310358,0.010960396238310358,3.965258645762479e-07,214017,mordred (199-feat)
mordred_Mor24,0.007242483455421865,0.007242483455421865,0.0008065416135818118,214017,mordred (199-feat)
mordred_Mor05p,0.005848817355572829,0.005848817355572829,0.00681430349608081,214017,mordred (199-feat)
mordred_Mor30m,0.0057990677855704244,0.0057990677855704244,0.007301519346994647,214017,mordred (199-feat)
mordred_GeomShapeIndex,0.00451913470655538,0.00451913470655538,0.036560412726493505,214017,mordred (199-feat)
mordred_MOMI-Z,-0.0023559098738794317,0.0023559098738794317,0.2757635849758664,214017,mordred (199-feat)
mordred_Mor06m,0.0018269078198150015,0.0018269078198150015,0.398021879271939,214017,mordred (199-feat)
mordred_Mor30p,-0.0003662037427045497,0.0003662037427045497,0.8654725168738031,214017,mordred (199-feat)
