index,aldehyde_smiles,PubChem_CID
703,CCCN(CCC1=CC=CS1)C2CCC3=C(C2)C4=C(C=C3)NC=C4C=O,10406614
1098,C1C[C@@H]([C@H](C1)O)[C@@H](CCCCC(=N)N)C=O,6323178
8714,CCCCN(C)C[C@@H]1[C@H]2CCCC[C@@H]2C[C@@H](O1)CN[C@@H](CC3=CN=CN3)C=O,154732794
15988,C[C@@H]1CCC2C1CC3(C4CC2(C3(C(=C4)C(C)C)C(=O)O)C=O)CCOC(=O)C5=CC(=NN5)C(=O)O,5275592
16037,C[C@H]([C@H]1[C@@H](O1)C[C@H]2CO[C@H]([C@@H]([C@@H]2O)O)C/C(=C/C3=NC=C(O3)C=O)/C)[C@H](C)O,10596850
16757,C1OC2=C(O1)C=C(C=C2)C3=CC4=C(O3)C=CC(=C4)CCCOC(=O)CCCCCCCC=O,56669636
16792,C1=CC=C(C=C1)C2=NC(C(=O)N(C3=CC=CC=C32)CC=O)NC(=O)CCC4=CNC5=CC=CC=C54,57398001
17832,CN/C(=C\[N+](=O)[O-])/NCCSCC1=CSC(=N1)C=O,171115102
17837,C(CCC=O)CCNC1=NC(=C(N=C1Cl)C(=O)N=C(N)N)N,171115214
18617,C[C@@H](C1=CC2=C(C=C1)[C@@H]3C[C@H]4[C@@]5(O4)CC=CC(=O)[C@@]5([C@H]3CC2)C)[C@@H](C[C@@](C)([C@](C)(C=O)O)O)O,163106436
20633,C1=CC=C(C=C1)COC2=C(C(=CC=C2)OCC3=CC=CC=C3)C=O,11726890
23604,C1=C(C(=CC(=C1OC(F)F)OC(F)F)[N+](=O)[O-])C=O,170915486
23676,CCCCCC(C(CC=O)SCC(C(=O)[O-])[NH3+])O,90657989
23779,C=CC1=C(N[C@H](SC1)[C@@H](C=O)NC(=O)/C(=N\OCC(=O)O)/C2=CSC(=N2)N)C(=O)O,138857431
25286,C=CCC(CC=C)(C=O)C1=CC=C(C=C1)C(F)(F)F,176434193
25789,CC(C)CC(=O)C1=C(C(=C(C(=C1O)C=O)O)C[C@@H]2CC[C@@]([C@H]3[C@]2(CC[C@H](C3)C(=C)C)C)(C)O)O,172453541
29960,CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)OC(=O)[C@H]([C@H]([C@@H]([C@H](C=O)O)O)O)O)O[C@H]3[C@H](C=C4)O,20627175
33788,C(=O)[C@@]([C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)C(=O)O)O)O)O)([C@H]([C@@H]([C@@H](C(=O)O)O)O)O)O,129642561
45617,C(C1=NC(NC(N1CC(F)(F)F)(N)N(CC(F)(F)F)COCO)C=O)O,57083388
49224,CC1=C(NC2=C1C(=O)N(CCC2)CCN(C)C)/C=C\3/C4=CC(=CC(=C4NC3=O)CC=O)F,59250045
65618,C1COCCC1CN=C(C=O)NC2=C(N=C(C=C2)C3=CC=C(NC3)F)NCC4=CN=CC=C4,88270021
65644,CCC(C)C1=NC(=C(C(=N1)C(F)(F)F)C)CN(CC)C(=O)C[C@@H](CNCC(CCC=O)(F)F)N,88270967
65663,CCCC1=C(N=CN2C1=NC(=N2)C=O)CC(CC=N)NC3C(C=CC=N3)F,88272005
65729,CNC(CCNC1=C(C=C(C=C1)C(=O)O)F)C=O,88276637
68680,CN(C[C@@]1(CC(CN1)(F)F)C=O)S(=O)(=O)N2CCN(CC23CC3)C4=NC=NC5=C4C=CN5,88925268
68698,CC(C)(CN1CCC(CC1)OC2=NC=NC3=C2SC=C3C4=C(C=C(C=C4)S(=O)(=O)C)F)C=O,88926508
68728,C1=CC(=CC(=C1)NC2(C3=C(NC=C3)N=C(N2C4=CC=CC(=C4C=O)C(=O)N)F)F)C5=CN=CO5,88929976
69148,CC(C)C1=C(C(=NC(=N1)NC)C(=C)/C=C\CF)CC[C@H](C[C@H](CC=O)O)O,88961275
70781,CC1=CC(=CC(=C1C2=C(C=NC=C2)F)C)C3=NC(=NO3)C4=CC5=C(C=C4)C(CC5)NC6CC(C6)C=O,89128265
71322,C1CC(C1)(CC2=CC=C(S2)Cl)C(C/C=C/[C@H]3[C@@H](CC([C@@H]3C/C=C\CCCC=O)F)O)O,89193960
73100,C1C(N(NC1C(F)(F)F)C2=CC=C(C=C2)NNCC=O)C3=CC4C(C=C3)SC5=CC=CC=C5N4,89534931
73519,CCC1=C(N=C(C(=N1)C=O)NC2=CCC(C=C2)N3CCN(CC3)C)OC4=C(C(=CCC4)N)F,89709142
76628,CC1CC2=C(C=C1)N=C(S2)C3=C(N=C(N=C3Cl)NCCF)NC4CC(C(C4O)C=O)CO,90958176
76670,CC1=C(C=CC(=C1F)C2=CSC(=N2)NCC(C=O)C(=S)C3=C(NC(=O)N(C3=O)C)N)F,90984292
77553,CC1=C(C(=C(C=C1)S(=O)(=O)NC2=CCC(=C(C(F)F)NNO)C=C2)C)C=O,91365932
79653,CCC(C=O)O[C@H]1[C@H]([C@@H](O[C@@]1(CO)CCl)N2C=CC(=NC2=O)N)F,117892516
80856,CC1=NN(C=C1)[C@]2(C(C=CC=C2C)C=O)CN3CCCCC3CNC4=NN=C(S4)C(F)(F)F,118309989
81467,CCNC(C)(C=O)OC1(CC=C(C=C1)N(CC)C2=NC=C3C(=C(SC3=N2)C(=O)O)C)F,118597126
82510,COC1=C(C=C(C=C1)[C@@H](COCC=O)N)F,121428625
85693,CC(C(=C(C=C)C1=CCNCCC1)C=C)N2C3=C(C=C(C(=C3)F)CC=O)OC2=N,123916575
85839,CC(C(C(=O)O)NF)SC1CC(=O)C(C1=O)CCC=O,123991123
88657,C=NCC1=CC2=C(NN=C2C(=C1)F)C3NC(=C(C=N3)F)N[C@H]4[C@H]5CCC(=CC5)C4C=O,130341201
89649,CCC1=CC(=CN(C1=NC)C(=C)C(F)F)N2C(C(=C)C(C2=C)C=O)C3=CC=C(C=C3)Cl,132023524
89711,C1CCC(C1)C(CC#N)N2C=C(C(=N2)NCCC=O)C3=C4C=CN(SC4=NC=N3)F,132039436
91178,CC1CC1N2C(=O)C3=C(N(C2=O)CCC(C(F)F)(F)F)SC(=C3C)C=O,134366825
93887,C1CC([C@H](C(C1)N2CC3=C(C2=O)C=C(C=N3)C(=N)OC(=N)C(F)F)N)C4CC4(C=O)C(F)F,137472532
94817,C1C(=CC=CN1)CNC(/C=C/C2=CC=C(C=C2)C(F)F)C=O,138663476
95146,CC1=CC(=CC(N1)NCC2=CC(=CC(=C2)F)C3=CC(=CNC3)C)N(C)CCC(C=O)(C#N)C4CC4,139332782
95274,CCN(C)C1(CCC1)CN2C=C(C(=O)C(=C2C=O)O)/C(=C/NCC3=C(C=C(CC3)F)F)/N,139374725
95514,CC1=C(C(=NC(=N1)Cl)N(C)C(C)C(F)(F)F)NC(=NCC2=NC=C(C=N2)S(=O)C)C=O,139437517
95539,CCOCC1(CCC(CC1)C2=C3CC(CN3N=C2C=O)(F)F)COCC,139451381
96667,CC(=C)C(=O)OCC(C=O)C(=O)OC1=CC=C(C=C1)OC(F)(F)F,140027333
97540,CC1=CC2=C(C=CC(=C2C1=C)F)C3C4CC5CC(C4)CC3(C5)C(CSC)C(C=O)(C(=O)O)N,140567097
101375,CCSC1=CC(=CN(C1C2=NC3=CC(=NC=C3N2C)C(F)(F)F)C)N(C)CCCC=O,142621038
101389,COC1(CC=C(C=C1)C2(CC=CC=C2)C=O)OCCCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F,142625456
103203,CN(CC1=C(C(=C(C(=C1N(C)S(=O)(=O)C)C=C)N=C)O)C=O)C/C(=C(/C(=C)Cl)\F)/C=C,143334320
105499,CN(C=NC1=C(C=C(C2=CCCC=C21)C/C(=C/C=C/OC(F)F)/C=N)C=O)C3CCOCC3,144145675
105596,C1CC2(CCC(CC2)(CCN(C3=CC=C(C=C3)C(C(F)F)O)N)C=O)OC1,144169840
105886,CN(CCC(=O)N1CCCCCC1)CC(CC=O)C(=C)C2=C(OC3=C2C=NC=C3)C(=C)OC(F)F,144266638
109454,CC/C=C(\C(=C/C=C(C)C)\C1=CSC(=C1)C(CC=O)N=C(N)N(C)C)/F,145460786
110151,C=C(C1CC1)NC(=O)C2=C(SC3=C2CCC(C3)(F)F)NC(=O)C4CCCCC4C=O,145685308
111382,COC(C=O)C1CC2=C(C(=O)C1)C(=C(N2)C3=C(C=NC=C3)OCC(F)F)NC4=CC=CC=C4,146516146
111393,CN1C(CN2C1=C(C=CC2=O)N=CC=O)CN3CCC(CC3)NCC4=C(C5=C(C=C4)OCCO5)F,146519917
111756,CC[C@H]1[C@H](NC(=O)[C@H]1F)COC2=NC(=C(C3=C2C=C(C=C3)OC)C#CC4CCC(CC4)C=O)C(=O)N,146598414
113400,CC1=CC=C(C=C1)CC2(N(C(C(=O)N2C)CC3=CNC4=C3C(=C(C=C4)F)[N+](=O)[O-])C)C=O,153365912
115357,CCC(C1=NC2C=CC=C(C2C(=O)N1/C=C/C=C\C=C)F)NC3=C(C(=NC(=N3)SC)N=CN)C=O,155000084
115360,C[C@@H](C1=NC2=C(C(=CC=C2)Cl)C(=O)N1C3=CC=CCC3)NC4=NC=NC(=C4C=O)N/C=C(\C)/F,155000138
115367,CN(C)C(=N[C@]1(COCC[C@H]1C=O)C2=C(C=CC(=C2)OC3=NC=NC(=C3)N4C=CC=N4)F)N,155001000
116596,CCC1(CC(C1)CN=C2/C(=C\C=C\N)/CC3=C(N2CC=O)C(=C(C=C3)Cl)SC)F,155300979
117884,CCC(CCC1=CC2=C(C=C(C(=N2)N)C)C(=C1)F)(CCN3C=CC4=C(N=CN=C43)C)C=O,155705421
118103,C/C=C\SC(=C)C1=NC(C(=C2N1C[C@@](C2)(CCC=O)N)C3=CC=N3)C4=CC(=C(C=C4)F)F,155735358
118303,C(CCNC(=O)CSCC=O)CC(=O)F,156046977
124898,C1CCC(CC1)C[C@@H](C(=O)N[C@@H](C[C@@H]2CCNC2=O)C=O)N3C=CC(=CC3=O)F,163513431
125126,CC1(CN=NC=C1)C2=CC3=C(C=C2)N(N=C3C=O)CC(=O)N4CC(CC4C(=NC5CNCC5F)N)F,163729331
125141,CC(C)(C)C1=CC=C(C=C1)C2C(=O)C2(C=O)NC3=CC(=NN3C4=CC=CC5=C4C=CC=N5)C(F)F,163744702
126252,C1[C@H]([C@H]1F)C(=O)NC2=CN3C=C(C=CC3=N2)C4=C5C=NNC5=C(C(=C4Cl)F)C(CC=O)C#N,165010337
128848,CC1(C[C@H](C(=O)N1)C[C@@H](C#N)NC[C@](CC2(CC2)C)(C=O)NC(=O)C3=CC=C(N3)C(F)(F)F)C,166893236
129007,CC1=C2C(=O)NC3(N2C(=O)C(=C1)NC4=NC=NC(=C4)NCC5(CC5)C=O)CC6=CC=CC=C6[C@@H]3F,166922427
129378,CC(C)C1=C2C(=CC(=N1)N3CCCC4=CC(=C(C=C43)C(F)F)/C(=C/N)/C=N)C(=CN2)C=O,166982532
129722,C[C@H](C1CC1)NC2=NC(=NC(=N2)C#CC3(CC3)C=O)N[C@H](C)C(F)(F)F,167061031
129843,CC(CCN/N=C\C=C\C(C/C=C\N)C=O)(F)F,167082416
129847,CC1CC=CC(/C=C(\C1=N)/C2CCN(C2)CC=O)C/C=C(\C(=C/CC#C)\OC3=CC=CC=N3)/F,167082908
130047,C[C@@H]1CN(C[C@@H](N1CC(C=O)C2=CC(=C(C(=C2)F)C3CC3)F)C)C4=NN=C(C=C4)Cl,167119952
133284,CNCCNC1=CC(=NC=C1C#N)NC(=O)N2C3CC(C3)(C4=C2N=C(C=C4)C=O)F,169567736
133874,CC1=NN=C(C=C1)NC2=CC3=C(C=C2)N(C=N3)C4=NC(=C(C=C4)CC=O)C5=C(NN=C5C(F)F)C,169749305
133940,CC(C=O)C1=C(C(=CC(C1(C)Cl)(C(=O)O)OCC#N)N2C(=O)C=C(N(C2=O)N)C(F)(F)F)F,169761355
134216,C1C[C@@H](C[C@@H](C1)NC2=NC=C(C(=N2)OC3COC3)C(F)(F)F)/C=C(/C=C\C(=N)C=O)\NCN,169848659
134394,CCCC1=C(N=C2C=C(C(=C3CCCC1=C2C3)C)F)/C(=C/C(=C(/CC)\C(=O)C)/C(CC)C=O)/C,169910670
134629,CC(=NC1=C(C(=C(C=C1)CN2CCN(CC2)/C(=C(/C)\F)/C=C\C(=C)C(=C)NC)Cl)NC)C=O,170001023
134829,CCC(C1=C(C(=CC=C1)C(F)F)F)NC\2=NC(=N/C(=C/C=O)/C2=C\N(C)C3(CC3)C4=CC=NC=C4)C,170064539
134967,CCC/C(=C(/C=C\1/C/C(=C\2/C(CCC3=C2C(=CC(=C3C)F)N=C)NC)/CN1C)\C(CC=O)C=C)/C=C,170092398
134986,CNC1(CC1)CN(CCC2CCC(=C)CC2)C3=C(OC4=CC=C=C(C=C43)CF)C=O,170094999
135373,C/C=C\C(=C(\C)/C(=C)C(F)F)\C1=C2CCCN2C(=C1C)C(=O)C(=C)NC3(CC(C3)(F)F)C=O,170196853
135661,CNC(=O)C(CCC=O)N1CC=C(C1=O)/C=C\C(=C)CNC(=O)C(C2=CC(=O)N(N=C2)C)(F)F,170313241
137282,CCCN(CC(C)SF)C1=NC(=C(C=C1)C2=NC(=C(S2)C=O)CCN(C)C3=CN=CC=C3)F,171488988
138959,C\1CC2=C(NC3=CC=CC(=C23)/C1=C/C(CNCCCF)C=O)Br,172577899
139061,CNS(=O)N(CC=O)C1=C(C=CC(=C1F)C2=CCCC(NC2)CCC3CC3(F)F)O,172608015
139739,C1C(=C(C(=C(C1(C=O)F)F)F)OCC(C(C(C(F)F)(F)F)(F)F)(F)F)F,173249806
140514,CC/C(=C/CCl)/C(=C\CC=C)/C1=NOC(=C1C=O)C2=C(N(N=C2)/C(=C/C/C=C\CCF)/C)C,173722133
140604,C1C=NN(C1C2=CC(=CN=C2)Br)C=CCC(CCl)(C=O)C(F)F,173763020
140725,C1C(=C(NC(=N1)C2=NC=CS2)CC(CO)(C=O)O)C(=CC=NC(F)F)N,173809696
140849,C(C/C(=C/C=C(N)N)/N)C(CN=CC(=NN)C=O)F,173855079
140929,CNCC1=C(C(=NC(=C1F)NC2CCCC[C@@H]2N)C(=CN)C=NC)C=O,173888387
140980,CCCC(C(C/C=C/C(C)F)SC1=C(N=CC(=C1)C)C=O)N=CC(=C2NC(CS2)C)N,173909965
140990,CC[C@@](CCN(CCCCC1=NC2=C(CCCN2)C=C1)C[C@@H](COC)F)(C=O)N,173912568
141261,CN1C(=C(C2=C1N=C(S2)CC(=C(C=N)F)N)/C=N\N(C)CC3=C(C=NN3)F)C=O,174020829
141291,C1C(=CN)C(=NC2=CC=C(C=C2)F)C=C(C1(C/C=C/C=C\C(=N)C(F)(F)F)C=O)CCNS,174034148
141384,CC1(CC[C@@H](CN1)NCN=C(C2=CNC3=C2C=CC(=C3C=O)/C=N\NC)/C(=C\N=C)/C(F)(F)F)C,174068792
141903,C(CS(=N)(=O)CCC(CO)(C=O)N)C(C(=O)N)C(F)(F)F,174247277
142299,COCC1=C(C=C2C3=N/C(=C/C(=C(\C(=C)F)/Cl)/F)/CC(=C3CN2C1=O)CN)C(C=O)O,174335670
142600,C[C@@H](C=O)NC(=O)CCC(=O)C1=CC=C(C=C1)F,174379190
144771,C1CN(CC1CNCC2=NC3=C(C=C2)SCC(=O)N3)CC4CN5C(C=CC6=C5C4=C(C=C6)F)C=O,174556253
147396,C[C@@H](C1=CC=C(C=C1)CN2CC(C(C2)(F)F)(F)F)NC3=NC=CC(=N3)N4[C@H](COC4C=O)C(C)C,174723048
149752,C1=CC2=C(C=C1OC(F)(F)F)N=NN(C2C=O)CCCCBr,175073870
150728,C1=CC=C(C(=C1)CCNCC2=CC=C(C=C2)CCNC[C@@H](C3=C4C(=C(C=C3)O)NC(S4)C=O)O)F,175258941
150808,C1CC(C(C1)F)C2=CC=CC3=C2N(C(=C3)C4=NC(CS4)CCN5CCN(CC5)C(CO)C=O)N,175264998
153684,C1[C@@H]2CN([C@H]1CO2)C3=NC4=C(C(=NN4C=C3)C5=CN(N=C5C(F)F)C6CC(C6)C=O)C(=O)N,175931244
153778,CC1(C=C(C(=CC1C2=CC=NN2)CCC3=C(C(=NN3C)CC4CC4)Br)F)CC=O,175954808
153803,CN1C(=CC=N1)C2N(N=C(O2)C=O)N3CCC4=C(C3C5=NN6C=CC=C(C6=C5CF)CF)N=CN4,175961597
154155,C1=CC(C(C(=C1)F)C=O)(OCCOCCBr)F,176092058
155389,CNC=C=C(CBr)/C(=C(\CC(F)(F)F)/F)/SCCC=O,176535371
156128,CN(/C=C\C1=C(N=C(C=C1)NC2(CNC2)/C(=C(/C(=C)Cl)\Cl)/C(=C)F)C=O)C3CC3,176997086
156465,C[C@@H]1CN(C[C@@H](O1)C2CN(N=C2)COC)C3=NC(=C(C(=N3)N)C=O)C45CC(C4)(C5)C(F)(F)F,177137166
157378,CC(COCC1=CN(N=N1)C2CCN(C2)C3=NC(=CS3)C=O)NC4=C(C(=O)NN=C4)C(F)(F)F,177936892
159357,C1=CC(=C(N=C1)N)C2=NC3=C(N2C4=CC=C(C=C4)CNC(=O)C5=NC(=C(C=C5)O)C=O)N=CC=C3,169175371
159599,CC(C=O)C(C)C(C)C(C)C(C)C(CO)C(C)OC1=CC(=C2C(=C1)OC3=C(C2=O)C=C(C=C3)O)O,163184077
161842,C[C@H](C1=C(C=NC=C1Cl)Cl)OC2=CC3=C(NN=C3C=C2)CCC4=CN(N=C4)CC=O,122172831
161989,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CCCNC(=NCCC[C@@H](C=O)N)N)O)O)N,154700551
162050,C[C@H]([C@@H](C=O)[C@H]1C[C@H]([C@@H](N1)C(=O)O)SCCN=CN)O,166638185
162342,CC(C)(OC)OC(CC(CBr)(OC)OC)C=O,10495367
163011,C[C@@](/C=C/[C@H]1CC=CC(=O)O1)(C=O)OCOC,11379461
165327,CC(C)(C)N1C(=NN=N1)S(=O)(=O)C[C@H]2CCC(=O)N2CCCCC=O,44598022
167089,C(CCCC(=CC(C=O)N=O)[N+](=O)[O-])CCCC(=O)O,91332533
169593,C1=NC2=C(N1)C(=O)N(C(=O)N2)OC(CC=O)C(CO)O,129669628
169893,C1C=CN(C1(CO)C=O)CCCCC(C(=O)O)N,129710118
171130,C(CCCCC1(SS1)C=O)CCCCS,129824040
173101,CCOCCOCC1=CC=C(C=C1)O[C@H]2[C@@H]3[C@H]([C@@](C=C([C@H]3[C@]4([C@H]2[C@H](C[C@H](C4)C)C)C)C)(C)C=C)C=O,134866376
173346,CCOC(CC(CC=O)N=O)OCC,134886320
174578,C1CCOC(C1)OCOCCC=O,134987354
174638,CC[C@H](C=O)[C@@H]1C[C@H]2[C@H]3[C@@]4(C[C@@H](C1[C@H]4O)N2CC(CN(CC)CC)O)C5=CC=CC=C5N3C,134990457
174701,CCCCCC1[C@H](N1S(=O)(=O)C(C)(C)C)C=O,134999049
174929,CC(C)(C)OC(=O)C(=C)C[C@@H](CC1=CC=CC=C1)C=O,135007208
175604,C1=CC=C(C=C1)C(CC(=O)CC=O)C2=CC=CC=C2,135052732
175912,C=CCC(CCCC#CC1=CSC(=C1)C=O)I,135071836
176664,CC1(O[C@H]([C@H](O1)[C@@H](COS(=O)(=O)C)OCOC)CC=O)C,138983857
176706,CCC[C@H]1[C@H]([C@@H]([C@H]([C@@]1(C2=CC=CC=N2)O)C=O)C3=CC=C(C=C3)Br)[N+](=O)[O-],139037158
195427,C1CC2=C([C@H]1CC(C=O)N)C3=C(C=CN=C3S2)OC4CCC(CC4)N5C[C@H](O[C@@H](C5)CF)CF,73052740
195856,CCCOC1=CC(=C(C=C1)C=O)OCCF,79035552
206372,C(C(F)(F)F)OC(C(OC(C(C(F)(F)F)(OC(C(C=O)(F)F)(F)F)F)(F)F)F)(F)F,101917908
241318,CC[C@@](CNCC1=CC=C2C(C1)(C=CS2)C)(C=O)OC3=C(C=C(C=N3)Cl)C(F)(F)F,148788449
263223,CC1=CC2=C(C=C1C)N(C(=O)C(N2)C(=O)NC(=O)N)CC(C(C(C=O)O)O)O,536738
267969,C/C(=C\CC[C@]1(C=CC2=C(C=C(C(=C2O1)C=O)COC(=O)C)O)C)/CC[C@@H]3C(O3)(C)C,139292075
273924,C1COC2=C1C=C(C=C2)C3=NC(=NC=C3)NC4=CC=C(C=C4)S(=O)(=O)NCC=O,11690064
274444,C[C@@H]1[C@@H]2[C@H](C(=O)N2C(=C1C3=CN4C(=CN=C4C=O)S3)C(=O)OCOC(=O)C(C)(C)C)[C@@H](C)O,12070037
277988,CC1=C(NC(=C1CCC(=O)O)CC2=C(C(=C(N2)C=O)C)CCC(=O)O)/C=C\3/C(=C(C(=O)N3)C=C)C,13988204
279616,CCCC1=CC=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)C=O,14987390
281401,C1COC[C@@H]1O/N=C(\C2=CC=C(C=C2)S(=O)(=O)C3CC3)/C(=O)NC4=NC=C(S4)C=O,15953097
284578,CCN(CC)C1=CC=C(C=C1)CC2CNCCN2C3(C=CC(C=C3)C=O)N(CC)CC,18440747
284888,C1CC(=O)N2CNCC(C[N+]2(C1NC(=O)CC3=CC=CC=C3)[O-])C(=O)NC(CC(=O)O)C=O,18465823
285769,C(=O)[C@@H]([C@H]([C@@H]([C@@H](C(O)OS(=O)(=O)O)O)O)O)NOS(=O)(=O)O,18639646
285934,CO[C@H](CN=[N+]=[N-])[C@@H]([C@H](C=O)OC)OC,18654074
286002,C1C[C@H](NC1)C(=O)N([C@@H](CCCN=C(N)N)C=O)C(=O)C2C3=CC=CC=C3CCO2,18660594
286695,CC1=C(C=CC2=C1C(=O)OC(=N2)N[C@](C)(C=O)N3CCOCC3)NC(=O)CN4CCCC4,18732063
286850,CCCN1C2=C(C(=O)N(C1=O)CCC)NC(=N2)C34CCC(CC3)(OC4)C=O,18767721
288407,CC1=CC=C(C=C1)S(=O)(=O)OC2=C3C(=C(C(=C2CC4=CC(CC4)(C)CC=O)OC)C)COC3=O,19046285
290756,CCCC1=C(C=CC(=C1O)C(=O)C)CSC2=NN=C(S2)NOC(=O)CCC=O,19800946
290854,CC1CN(CCC1(C)C2=CC(=CC=C2)O)CCN(C3CCCCC3)C(=O)CCCNCC(C)CC=O,19813696
